"","City","State","Site.Num","Date.Local","O3.Mean"
"1","Boston","Massachusetts",42,2001-04-01,0.028958
"2","Boston","Massachusetts",42,2001-04-02,0.02225
"3","Boston","Massachusetts",42,2001-04-03,0.019167
"4","Boston","Massachusetts",42,2001-04-04,0.01675
"5","Boston","Massachusetts",42,2001-04-05,0.0175
"6","Boston","Massachusetts",42,2001-04-06,0.018167
"7","Boston","Massachusetts",42,2001-04-07,0.032125
"8","Boston","Massachusetts",42,2001-04-08,0.022167
"9","Boston","Massachusetts",42,2001-04-09,0.018875
"10","Boston","Massachusetts",42,2001-04-10,0.017792
"11","Boston","Massachusetts",42,2001-04-11,0.021667
"12","Boston","Massachusetts",42,2001-04-12,0.011375
"13","Boston","Massachusetts",42,2001-04-13,0.017917
"14","Boston","Massachusetts",42,2001-04-14,0.039
"15","Boston","Massachusetts",42,2001-04-15,0.03
"16","Boston","Massachusetts",42,2001-04-16,0.018
"17","Boston","Massachusetts",42,2001-04-17,0.021625
"18","Boston","Massachusetts",42,2001-04-18,0.028167
"19","Boston","Massachusetts",42,2001-04-19,0.017083
"20","Boston","Massachusetts",42,2001-04-20,0.026625
"21","Boston","Massachusetts",42,2001-04-21,0.040042
"22","Boston","Massachusetts",42,2001-04-22,0.038083
"23","Boston","Massachusetts",42,2001-04-23,0.027375
"24","Boston","Massachusetts",42,2001-04-24,0.033125
"25","Boston","Massachusetts",42,2001-04-25,0.022083
"26","Boston","Massachusetts",42,2001-04-26,0.026333
"27","Boston","Massachusetts",42,2001-04-27,0.016417
"28","Boston","Massachusetts",42,2001-04-28,0.033833
"29","Boston","Massachusetts",42,2001-04-29,0.027875
"30","Boston","Massachusetts",42,2001-04-30,0.018167
"31","Boston","Massachusetts",42,2001-05-01,0.022958
"32","Boston","Massachusetts",42,2001-05-02,0.02675
"33","Boston","Massachusetts",42,2001-05-03,0.0425
"34","Boston","Massachusetts",42,2001-05-04,0.0435
"35","Boston","Massachusetts",42,2001-05-05,0.029333
"36","Boston","Massachusetts",42,2001-05-06,0.025708
"37","Boston","Massachusetts",42,2001-05-07,0.022292
"38","Boston","Massachusetts",42,2001-05-08,0.026792
"39","Boston","Massachusetts",42,2001-05-09,0.022333
"40","Boston","Massachusetts",42,2001-05-10,0.022417
"41","Boston","Massachusetts",42,2001-05-11,0.043625
"42","Boston","Massachusetts",42,2001-05-12,0.040208
"43","Boston","Massachusetts",42,2001-05-13,0.024458
"44","Boston","Massachusetts",42,2001-05-14,0.028458
"45","Boston","Massachusetts",42,2001-05-15,0.022
"46","Boston","Massachusetts",42,2001-05-16,0.021708
"47","Boston","Massachusetts",42,2001-05-17,0.016125
"48","Boston","Massachusetts",42,2001-05-18,0.020917
"49","Boston","Massachusetts",42,2001-05-19,0.030417
"50","Boston","Massachusetts",42,2001-05-20,0.031083
"51","Boston","Massachusetts",42,2001-05-21,0.023708
"52","Boston","Massachusetts",42,2001-05-22,0.015125
"53","Boston","Massachusetts",42,2001-05-23,0.017792
"54","Boston","Massachusetts",42,2001-05-24,0.015875
"55","Boston","Massachusetts",42,2001-05-25,0.019708
"56","Boston","Massachusetts",42,2001-05-26,0.0265
"57","Boston","Massachusetts",42,2001-05-27,0.01525
"58","Boston","Massachusetts",42,2001-05-28,0.024708
"59","Boston","Massachusetts",42,2001-05-29,0.023583
"60","Boston","Massachusetts",42,2001-05-30,0.019292
"61","Boston","Massachusetts",42,2001-05-31,0.018083
"62","Boston","Massachusetts",42,2001-06-01,0.023542
"63","Boston","Massachusetts",42,2001-06-02,0.024833
"64","Boston","Massachusetts",42,2001-06-03,0.013625
"65","Boston","Massachusetts",42,2001-06-04,0.019292
"66","Boston","Massachusetts",42,2001-06-05,0.017
"67","Boston","Massachusetts",42,2001-06-06,0.015417
"68","Boston","Massachusetts",42,2001-06-07,0.017375
"69","Boston","Massachusetts",42,2001-06-08,0.021
"70","Boston","Massachusetts",42,2001-06-09,0.017958
"71","Boston","Massachusetts",42,2001-06-10,0.021708
"72","Boston","Massachusetts",42,2001-06-11,0.026625
"73","Boston","Massachusetts",42,2001-06-12,0.026958
"74","Boston","Massachusetts",42,2001-06-13,0.03225
"75","Boston","Massachusetts",42,2001-06-14,0.03975
"76","Boston","Massachusetts",42,2001-06-15,0.034417
"77","Boston","Massachusetts",42,2001-06-16,0.017292
"78","Boston","Massachusetts",42,2001-06-17,0.014458
"79","Boston","Massachusetts",42,2001-06-18,0.022708
"80","Boston","Massachusetts",42,2001-06-19,0.054333
"81","Boston","Massachusetts",42,2001-06-20,0.048208
"82","Boston","Massachusetts",42,2001-06-21,0.021667
"83","Boston","Massachusetts",42,2001-06-22,0.018458
"84","Boston","Massachusetts",42,2001-06-23,0.023625
"85","Boston","Massachusetts",42,2001-06-24,0.022625
"86","Boston","Massachusetts",42,2001-06-25,0.024875
"87","Boston","Massachusetts",42,2001-06-26,0.025333
"88","Boston","Massachusetts",42,2001-06-27,0.040167
"89","Boston","Massachusetts",42,2001-06-28,0.033083
"90","Boston","Massachusetts",42,2001-06-29,0.024458
"91","Boston","Massachusetts",42,2001-06-30,0.053042
"92","Boston","Massachusetts",42,2001-07-01,0.042
"93","Boston","Massachusetts",42,2001-07-02,0.013417
"94","Boston","Massachusetts",42,2001-07-03,0.02825
"95","Boston","Massachusetts",42,2001-07-04,0.03975
"96","Boston","Massachusetts",42,2001-07-05,0.02675
"97","Boston","Massachusetts",42,2001-07-06,0.015875
"98","Boston","Massachusetts",42,2001-07-07,0.03575
"99","Boston","Massachusetts",42,2001-07-08,0.0375
"100","Boston","Massachusetts",42,2001-07-09,0.032917
