Date,ipca.acum
agosto 1994,101.86
setembro 1994,103.418458
outubro 1994,106.1280215996
novembro 1994,109.110219006549
dezembro 1994,110.976003751561
janeiro 1995,112.862595815337
fevereiro 1995,114.013794292654
março 1995,115.78100810419
abril 1995,118.594486601122
maio 1995,121.760959393372
junho 1995,124.512757075662
julho 1995,127.451258142647
agosto 1995,128.71302559826
setembro 1995,129.987284551682
outubro 1995,131.820105263861
novembro 1995,133.75786081124
dezembro 1995,135.844483439895
janeiro 1996,137.66479951799
fevereiro 1996,139.082746953025
março 1996,139.569536567361
abril 1996,141.328112728109
maio 1996,143.052315703392
junho 1996,144.754638260263
julho 1996,146.361414744952
agosto 1996,147.005404969829
setembro 1996,147.225913077284
outubro 1996,147.667590816516
novembro 1996,148.140127107129
dezembro 1996,148.836385704532
janeiro 1997,150.592655055846
fevereiro 1997,151.345618331125
março 1997,152.117480984614
abril 1997,153.456114817278
maio 1997,154.085284888029
junho 1997,154.917345426425
julho 1997,155.258163586363
agosto 1997,155.227111953646
setembro 1997,155.320248220818
outubro 1997,155.677484791726
novembro 1997,155.942136515872
dezembro 1997,156.61268770289
janeiro 1998,157.72463778558
fevereiro 1998,158.450171119394
março 1998,158.9889017012
abril 1998,159.370475065283
maio 1998,160.167327440609
junho 1998,160.199360906097
julho 1998,160.00712167301
agosto 1998,159.191085352478
setembro 1998,158.840864964702
outubro 1998,158.872633137695
novembro 1998,158.68198597793
dezembro 1998,159.205636531657
janeiro 1999,160.320075987379
fevereiro 1999,162.003436785246
março 1999,163.785474589884
abril 1999,164.702673247587
maio 1999,165.19678126733
junho 1999,165.510655151738
julho 1999,167.314721292892
agosto 1999,168.251683732132
setembro 1999,168.773263951702
outubro 1999,170.781665792727
novembro 1999,172.404091617758
dezembro 1999,173.438516167464
janeiro 2000,174.513834967703
fevereiro 2000,174.740702953161
março 2000,175.125132499658
abril 2000,175.860658056156
maio 2000,175.878244121962
junho 2000,176.282764083442
julho 2000,179.120916585186
agosto 2000,181.467400592452
setembro 2000,181.884775613814
outubro 2000,182.139414299674
novembro 2000,182.722260425433
dezembro 2000,183.800321761943
janeiro 2001,184.847983595986
fevereiro 2001,185.698284320527
março 2001,186.403937800945
abril 2001,187.485080640191
maio 2001,188.253769470816
junho 2001,189.232689072064
julho 2001,191.749483836722
agosto 2001,193.091730223579
setembro 2001,193.632387068205
outubro 2001,195.239535880871
novembro 2001,196.625736585626
dezembro 2001,197.903803873432
janeiro 2002,198.932903653574
fevereiro 2002,199.649062106727
março 2002,200.846956479367
abril 2002,202.453732131202
maio 2002,202.878884968678
junho 2002,203.730976285546
julho 2002,206.155374903344
agosto 2002,207.495384840216
setembro 2002,208.989351611066
outubro 2002,211.727112117171
novembro 2002,218.121270903109
dezembro 2002,222.701817592074
janeiro 2003,227.712608487896
fevereiro 2003,231.287696441156
março 2003,234.132535107382
abril 2003,236.403620697924
maio 2003,237.845682784181
junho 2003,237.488914260005
julho 2003,237.963892088525
agosto 2003,238.772969321626
setembro 2003,240.635398482335
outubro 2003,241.333241137933
novembro 2003,242.153774157802
dezembro 2003,243.412973783423
janeiro 2004,245.262912384177
fevereiro 2004,246.75901614972
março 2004,247.918783525624
abril 2004,248.836083024669
maio 2004,250.105147048095
